
 Lista de Imóveis da Caixa;;Data de geração:;26/07/2024;;;;;;;
 8555538552312 ;SP ;RIBEIRAO PRETO ;CONJUNTO HABITACIONAL SILVIO PASSALACQUA ;RUA LUIZ CROPANESE SPADARO JUNIOR, N. 100, Apto 201, BLOCO 2 ;142.361,42;118.119,13;0.00;Apartamento, 0.00 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538552312
 8444408621398 ;SP ;RIBEIRAO PRETO ;JARDIM MARIA GORETTI ;RUA PAULO DE FRONTIM, N. 2005, Apto 2, BLOCO D  TORRE 2 ;163.329,97;135.000,00;0.00;Apartamento, 0.00 de área total, 42.96 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408621398
 8787702002821 ;SP ;RIBEIRAO PRETO ;VILA VIRGINIA ;RUA NICOLA SPINELLI, N. 155, Apto 26, 0 ;229.782,33;181.000,00;0.00;Apartamento, 0.00 de área total, 46.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702002821
 8787713155152 ;SP ;RIBEIRAO PRETO ;RESERVA REAL ;RUA  ANTENOR DE SOUZA, N. 605, Apto 202, BL 13 ;165.631,51;130.000,00;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713155152
 1555501137186 ;SP ;RIBEIRAO PRETO ;JARDIM SAO LUIZ ;RUA A  AVENIDA PORTUGAL, N. 2580, RES AUTONOMA 9496 ;1.053.749,00;800.000,00;0.00;Casa, 0.00 de área total, 246.36 de área privativa, 352.22 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555501137186
 10143043 ;SP ;RIBEIRAO PRETO ;CAMPOS ELISEOS ;RUA JOÃO RIBEIRO, N. 626, GALPÃO ;1.495.000,00;880.000,00;0.00;Galpão, 0.00 de área total, 702.30 de área privativa, 0.00 de área do terreno, 13 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143043
 1444410083065 ;SP ;RINCAO ;CENTRO (TAQUARAL) ;AVENIDA SETE DE SETEMBRO, N. SN, QD04, LT3/4, GLEBA C-A ;649.264,00;880.000,00;26.22;Gleba, 0.00 de área total, 0.00 de área privativa, 21922.73 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410083065
 8444413091300 ;SP ;RIO CLARO ;JARDIM BOM SUCESSO ;RUA 16 JW, N. 484, LT 492QD R ;101.418,60;183.000,00;44.58;Casa, 0.00 de área total, 51.11 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413091300
 8034158420053 ;SP ;RIO CLARO ;CONJUNTO HABITACIONA ;RUA 11 C N 16, N. 16 ;149.552,13;263.900,00;43.33;Casa, 0.00 de área total, 115.70 de área privativa, 180.00 de área do terreno,  3 qto(s), 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8034158420053
 8444407166131 ;SP ;RIO CLARO ;JARDIM PANORAMA ;RUA 26-PA, N. 576, QD E, LT 64 ;124.600,00;178.000,00;30.00;Casa, 0.00 de área total, 58.90 de área privativa, 150.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407166131
 1444403340147 ;SP ;RIO CLARO ;JARDIM NOVA VENEZA ;RUA 4 NV, N. 323, LT 17 QD A ;131.758,97;160.000,00;17.66;Casa, 0.00 de área total, 81.10 de área privativa, 360.00 de área do terreno,  2 qto(s), WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403340147
 8555526314438 ;SP ;RIO CLARO ;RECANTO PARAISO ;RUA 22, N. 4181, Apto 22, TORRE 08 ;164.000,00;164.000,00;0.00;Apartamento, 0.00 de área total, 49.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526314438
 8555524934048 ;SP ;RIO CLARO ;JARDIM PAULISTA ;RUA DOUTOR FRANCISCO JOSE FELICIANO DE CAMARGO, N. 208, Apto 401, BL 05 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 46.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524934048
 8444413973043 ;SP ;RIO CLARO ;JARDIM RESIDENCIAL DAS PALMEIRAS ;RUA  JP, N. 11, LT 167 QD J N 1359 ;218.000,00;218.000,00;0.00;Casa, 0.00 de área total, 82.63 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413973043
 8787706389127 ;SP ;RIO CLARO ;CHACARA LUZA ;RUA A, N. 284, Apto 4, BLOCO 4 ;162.108,72;150.000,00;0.00;Apartamento, 0.00 de área total, 39.04 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706389127
 1444417354579 ;SP ;RIO CLARO ;VILA NOVA ;RUA 8 - A, N. 741, . ;724.761,83;575.000,00;0.00;Casa, 0.00 de área total, 203.00 de área privativa, 508.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417354579
 8444415046980 ;SP ;RIO DAS PEDRAS ;RESIDENCIAL BOM JARDIM ;RUA SEBASTIAO EVANGELISTA, N. 15, . ;191.650,79;190.670,98;0.00;Casa, 0.00 de área total, 90.30 de área privativa, 128.58 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415046980
 1444408562016 ;SP ;ROSANA ;PRIMAVERA ;TRAVESSA 1470, N. 106, LT23 QD31A ;335.000,00;335.000,00;0.00;Casa, 0.00 de área total, 99.06 de área privativa, 278.40 de área do terreno,  2 qto(s), WC, WC Emp, 3 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408562016
 8787702556452 ;SP ;SALES OLIVEIRA ;JARDIM BOA VISTA ;RUA, N. 74, LT 31 QD M ;138.000,00;138.000,00;0.00;Casa, 0.00 de área total, 41.38 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702556452
 8555528529776 ;SP ;SALTO ;PEDREGULHO ;AVENIDA EUGENIO COLTRO, N. 1925, APTO 402 BL 21 3 PAVIMENTO VAGA GARAGE ;94.214,00;170.000,00;44.58;Apartamento, 0.00 de área total, 46.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555528529776
 1444408173206 ;SP ;SALTO ;JARDIM NOVA ERA ;RUA SAO MATEUS, N. 79, Apto T4, BL B, TERREO ;340.000,00;400.000,00;15.00;Apartamento, 0.00 de área total, 75.09 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408173206
 10176226 ;SP ;SALTO ;VILA NORMA ;RUA PEDRO ALVARES CABRAL, N. 480, Apto 113, BL 3 ;340.000,00;340.000,00;0.00;Apartamento, 0.00 de área total, 67.25 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10176226
 8787704282139 ;SP ;SALTO ;JARDIM DAS NACOES ;RUA JAPAO, N. 5, Apto 402, . ;226.000,00;226.000,00;0.00;Apartamento, 0.00 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704282139
 8444422907805 ;SP ;SALTO ;RESIDENCIAL VILA MARTINS ;RUA LUIZ CARLOS PIERRONI DE SOUZA, N. SN, LT 47 QD 34 ;232.123,36;232.123,36;0.00;Casa, 0.00 de área total, 52.91 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422907805
 8555538699933 ;SP ;SALTO ;JARDIM SANTA LUCIA ;RUA JOVINIANO DE SOUZA FREIRE, N. 211, Apto 21, BL 02 ;155.020,88;153.500,00;0.00;Apartamento, 0.00 de área total, 44.20 de área privativa, 0.00 de área do terreno,  2 qto(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538699933
 1444416419367 ;SP ;SALTO ;JARDIM ARQUIDIOCESANO ;RUA DOS IPES, N. 1026, LT 1 QD C ;399.189,84;392.000,00;0.00;Casa, 0.00 de área total, 148.31 de área privativa, 1292.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416419367
 8787708171781 ;SP ;SALTO DE PIRAPORA ;PIRAPORAO ;ESTRADA VICINAL PROFESSOR JOSE MARCELLO, N. 224, QD D CS 66 ;99.735,91;142.479,87;30.00;Casa, 0.00 de área total, 46.80 de área privativa, 120.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708171781
 1444412250880 ;SP ;SALTO DE PIRAPORA ;BARRA ;RUA DAS VIOLETAS, N. 1122 ;220.800,00;276.000,00;20.00;Casa, 0.00 de área total, 206.00 de área privativa, 1890.15 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412250880
 8444412667410 ;SP ;SALTO DE PIRAPORA ;CENTRO ;RUA PADRE JOSE DE ANCHIETA, N. 19, LT 19 QD I ;198.785,61;198.248,00;0.00;Casa, 0.00 de área total, 69.96 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412667410
 8444421541424 ;SP ;SALTO GRANDE ;VILA SALTO GRANDE ;RUA MARIO MOURA TASSINARI, N. 303, LT 08 QD  45 ;114.000,00;114.000,00;0.00;Casa, 0.00 de área total, 55.87 de área privativa, 160.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421541424
 8555525928955 ;SP ;SANTA BARBARA D'OESTE ;JARDIM DAS LARANJEIRAS ;AVENIDA MOGI GUACU, N. 700, Apto 43, BL 01 ;99.756,00;180.000,00;44.58;Apartamento, 0.00 de área total, 48.79 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525928955
 8787711337431 ;SP ;SANTA BARBARA D'OESTE ;BARRACAO ;RUA PROFESSORA CLARICE BARUQUE DODSON, N. 861, Apto 12, BL 04 ;110.426,50;185.000,00;40.31;Apartamento, 0.00 de área total, 39.32 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711337431
 8787704762289 ;SP ;SANTA BARBARA D'OESTE ;JARDIM VISTA ALEGRE ;RUA DA BENIGNIDADE, N. 318, Apto 204, BL 08 ;81.000,00;135.000,00;40.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704762289
 8787703404753 ;SP ;SANTA BARBARA D'OESTE ;JARDIM DAS LARANJEIRAS ;AVENIDA MOGI GUACU, N. 1151, Apto 104, BL 10 BOX 193 ;97.800,00;163.000,00;40.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703404753
 8555538612544 ;SP ;SANTA BARBARA D'OESTE ;JOIAS DE SANTA BARBARA ;RUA GERALDO PEREIRA DE BRITO, N. 195, Apto 34, BL 13 ;105.000,00;175.000,00;40.00;Apartamento, 0.00 de área total, 48.79 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538612544
 8555539034552 ;SP ;SANTA BARBARA D'OESTE ;JOIAS DE SANTA BARBARA ;RUA GERALDO PEREIRA DE BRITO ANTIGA RUA 01, N. 75, Apto 33, BL 03 ;108.000,00;180.000,00;40.00;Apartamento, 0.00 de área total, 48.79 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539034552
 1444412274771 ;SP ;SANTA BARBARA D'OESTE ;JARDIM DAS LARANJEIRAS ;AVENIDA MOGI GUACU, N. SN, Apto 41, BL N ;148.850,00;229.000,00;35.00;Apartamento, 0.00 de área total, 48.79 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412274771
 8787708484313 ;SP ;SANTA BARBARA D'OESTE ;JARDIM DONA REGINA ;RUA CESAR SEGA, N. 192, Apto 101, BL D ;146.250,00;225.000,00;35.00;Apartamento, 0.00 de área total, 55.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708484313
 8787711185658 ;SP ;SANTA BARBARA D'OESTE ;PLANALTO DO SOL II ;RUA PROFESSORA CLARICE BARUQUE DODSON, N. 861, Apto 21, BL 01 ;117.181,00;170.000,00;31.07;Apartamento, 0.00 de área total, 39.32 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711185658
 8787708440537 ;SP ;SANTA BARBARA D'OESTE ;RESIDENCIAL MAC KNIGHT ;ESTRADA DO BARREIRINHO, N. 1391, Apto 404, BL 06 ;108.500,00;155.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708440537
 8555536709419 ;SP ;SANTA BARBARA D'OESTE ;CHACARA TAVER ;RUA A, N. 140, Apto 104, BL H ;116.200,00;166.000,00;30.00;Apartamento, 0.00 de área total, 49.21 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536709419
 8787711856005 ;SP ;SANTA BARBARA D'OESTE ;CHACARA TAVER ;ESTRADA DO BARREIRINHO N 1391 202 4, N. 1391, Apto 202, BL 04 ;121.100,00;173.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711856005
 8787702253239 ;SP ;SANTA BARBARA D'OESTE ;JARDIM DONA REGINA ;RUA CESAR SEGA, N. 192, Apto 102, BL D ;194.816,85;243.521,06;20.00;Apartamento, 0.00 de área total, 55.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702253239
 1444414726963 ;SP ;SANTA BARBARA D'OESTE ;JARDIM VISTA ALEGRE ;RUA DO AMOR, N. 278 ;258.400,00;323.000,00;20.00;Casa, 0.00 de área total, 115.12 de área privativa, 138.32 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414726963
 8787707537154 ;SP ;SANTA BARBARA D'OESTE ;PLANALTO DO SOL II ;RUA PROFESSORA CLARICE BARUQUE DODSON, N. 861, Apto 11, BLOCO 2 ;135.196,89;160.000,00;15.51;Apartamento, 0.00 de área total, 39.32 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707537154
 8787709902747 ;SP ;SANTA BARBARA D'OESTE ;CHACARA TAVER ;ESTRADA DO BARREIRINHO, N. 1391, Apto 404, BL 7 ;150.054,81;161.000,00;6.80;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709902747
 8444427935475 ;SP ;SANTA BARBARA D'OESTE ;LOT JD SANTA ALICE ;RUA DA BENIGNIDADE, N. 100, Apto 45, BL B GARAGEM 59 ;205.000,00;205.000,00;0.00;Apartamento, 0.00 de área total, 48.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427935475
 8555520777525 ;SP ;SANTA BARBARA D'OESTE ;PQ RES SAO JOAQUIM ;RUA ARTUR NOGUEIRA, N. 74, QD 07 LOTE 07B ;190.000,00;190.000,00;0.00;Casa, 0.00 de área total, 71.17 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555520777525
 8555539071075 ;SP ;SANTA BARBARA D'OESTE ;JARDIM FIRENZE II ;AVENIDA VEREADORA MARIA JOSE CAVEDAL DOS SANTOS, N. 300, Apto 95, BLOCO B ;288.713,00;288.713,00;0.00;Apartamento, 0.00 de área total, 59.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539071075
 8787704782751 ;SP ;SANTA BARBARA D'OESTE ;RECREIO ALVORADA ;RUA DA BENIGNIDADE, N. 318, Apto 503, BL 11 ;143.000,00;143.000,00;0.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704782751
 8787704897559 ;SP ;SANTA BARBARA D'OESTE ;JARDIM FIRENZE ;RUA JOSE MARIA DA COSTA, N. 64, Apto 1104, BL D 11 ANDAR ;279.108,74;279.108,74;0.00;Apartamento, 0.00 de área total, 56.52 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704897559
 8787709260770 ;SP ;SANTA BARBARA D'OESTE ;CHACARA TAVER ;ESTRADA DO BARREIRINHO, N. 1391, Apto 504, BLOCO 06 VG 161 ;164.550,68;156.000,00;0.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709260770
 1444403957616 ;SP ;SANTA CRUZ DO RIO PARDO ;PARQUE RESIDENCIAL ITAIPU ;RUA JOAO ANDRADE FILHO, N. 240, QD H ;987.775,04;1.338.811,39;26.23;Galpão, 0.00 de área total, 1863.28 de área privativa, 2000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403957616
 8444420100858 ;SP ;SANTA CRUZ DO RIO PARDO ;JARDIM SAO JOAO ;RUA JOAO MANZINI, N. SN, LT 13 QD S ;113.917,50;75.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.13 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420100858
 8555538098719 ;SP ;SANTA GERTRUDES ;CENTRO ;AVENIDA 5, N. 2, Apto 51, T 03 ;210.000,00;210.000,00;0.00;Apartamento, 0.00 de área total, 59.36 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538098719
 1555525393271 ;SP ;SANTA RITA DO PASSA QUATRO ;SANTA CRUZ DA ESTREL ;RUA EUGENIO ANACLETO RODRIGUES DIAS, N. 661, LT 106, QD 942 ;198.000,00;360.000,00;45.00;Comercial, 248.59 de área total, 248.59 de área privativa, 694.85 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555525393271
 1555537995824 ;SP ;SANTA ROSA DE VITERBO ;LILIANA URTIAGA ;RUA JOSE ANTONIO DE OLIVEIRA N 301, N. 301 ;70.813,50;127.500,00;44.46;Casa, 0.00 de área total, 51.00 de área privativa, 207.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555537995824
 1555511560570 ;SP ;SANTA ROSA DE VITERBO ;JARDIM JULIO MORETTI ;RUA JOÃO COSTA ARAUJO, N. 135, LT 09 - QD 07 ;226.100,00;350.000,00;35.40;Casa, 0.00 de área total, 204.37 de área privativa, 280.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555511560570
 1555527284640 ;SP ;SANTA ROSA DE VITERBO ;LOT JD ITAMARATY ;RUA ALBERTO MELONI ANTIGA RUA 1, N. SN, LT13 ;130.000,00;130.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 510.81 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555527284640
 1444400796174 ;SP ;SANTO ANDRE ;VILA PALMARES ;RUA FRANCISCO MONDINO, N. 46, 0 ;242.400,00;404.000,00;40.00;Casa, 0.00 de área total, 136.35 de área privativa, 84.00 de área do terreno,  3 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, Terraco, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400796174
